,x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.60,EC_0.70,EC_0.80,EC_0.90,EC_1.00,EC_1.10,EC_1.20,EC_1.30,EC_1.40,EC_1.50,EC_1.60,EC_1.70,EC_1.80,EC_1.90,EC_end,pos
249,553918.4476,5645466.137,8.198378181203447,20.156402723946915,38.69159402669907,58.85350837544301,77.72556811502491,93.91810557806394,106.93790738891165,116.77585063731577,123.65098815349276,127.87989098880966,129.80042119199916,129.7363605911369,127.98856840343004,124.82358885264435,120.4716469485803,115.13075491597603,108.9679058791786,102.12224556974081,94.71524747841788,86.8457700828309,62.941318
250,553918.6164,5645465.891,8.405467182115391,20.342653634994026,38.750604235854325,58.71172790854413,77.35755329883578,93.33142885742824,106.16721082973574,115.86596401175714,122.64625550772536,126.82923265849581,128.7523804367621,128.73698871731793,127.07839847714811,124.03764180180207,119.8320164510251,114.66031981380387,108.68994589339025,102.05661759881528,94.88110847220584,87.2570309355775,63.2396625
251,553918.7915,5645465.635,8.624421668739991,20.427195393675845,38.58765066894644,58.251518605615324,76.60504533401294,92.3288463983027,104.9764806565027,114.55457648118241,121.28245754145485,125.47515734993455,127.46524891301148,127.56886225745038,126.07381545666766,123.23285725929972,119.25926756503819,114.34693631113129,108.6582404514164,102.32744925492683,95.46958574502305,88.17652805066095,63.54981731
252,553918.9838,5645465.352,9.243980655665823,20.714572211048747,38.36690307437364,57.481228825633316,75.33141433265261,90.64639009852829,103.00280130049592,112.41466169871798,119.09852029672484,123.35606739351954,125.50346650162635,125.84109282628599,124.64639186117145,122.1628780762213,118.60408344228168,114.14797120232957,108.94845068937057,103.13025359248577,96.80473043940552,90.06363279713173,63.89196975
253,553919.1787,5645465.065,9.636871630616337,20.782539083440422,38.00917465792605,56.74235003489722,74.30166808330371,89.43386146163803,101.70311982432916,111.11031018947337,117.85825178969134,122.2320793440206,124.54311366632174,125.0780309596581,124.10535361057495,121.87058755042227,118.5698204789707,114.38507400726023,109.46131254628864,103.92434104761013,97.8788628872238,91.41651736668697,64.23889195
254,553919.3433,5645464.821,9.478741266700395,20.53159254677626,37.67495523311239,56.36658087964334,73.93330790937834,89.10544246272657,101.43408970974387,110.91022674689346,117.731605772626,122.17957974612018,124.55829158566584,125.15703924450196,124.24450198760118,122.06058420995546,118.8126974958871,114.67394481772257,109.78979172010274,104.28537731609705,98.26850111955895,91.82861068511012,64.53322027
255,553919.5228,5645464.554,9.198679577191266,20.36466344371862,37.652904045611734,56.47718283582065,74.1508370274486,89.40322303526948,101.78925812175775,111.29990977632026,118.13399267925352,122.57959058686457,124.94157267563627,125.51437609923332,124.56866415924156,122.34221000456864,119.04592934155995,114.85519678171347,109.9199337070032,104.36432682149363,98.2992137367938,91.8178932590113,64.8549488
256,553919.6774,5645464.322,9.292661454353464,20.661146662349104,38.14210086461113,57.080185401729146,74.78058843583732,89.9930985636557,102.29471629242326,111.69666683979246,118.41598232631902,122.74813635748622,125.00973683030824,125.49815449166864,124.48718497675355,122.21508822820829,118.88699145422612,114.67963323098928,109.74088368817634,104.19454620521013,98.14795748208533,91.69199052088587,65.13374113
257,553919.8334,5645464.088,9.23581409190826,20.714716232561944,38.36613529273721,57.4746717643258,75.32099565450291,90.63972965641948,103.0086493415836,112.44195004317346,119.16107306482492,123.4654965348258,125.67401795279419,126.08587242286025,124.98029631755143,122.59608105952242,119.14261509433099,114.79682441485394,109.7125643616155,104.0120636317005,97.80530608332526,91.18301058522843,65.41497412
258,553920.0127,5645463.817,8.683908368834892,20.18192900611263,37.920068622408955,57.168385869770894,75.1785268944706,90.66332878867769,103.17970250241683,112.73309369009962,119.54206650317919,123.9052989679675,126.14019327257209,126.5457744724391,125.40206079613445,122.95658876743963,119.4223536082508,114.97885383331808,109.77704575496593,103.9440358074774,97.59171590093634,90.81152631462287,65.73991949
259,553920.1628,5645463.59,7.318003265750562,18.854913985348475,36.70331626474767,56.12226297729918,74.34173681418453,90.05221510043931,102.79608698200065,112.56507560044308,119.56457089662715,124.09178703210644,126.46463464791869,126.98836726966923,125.93877963996603,123.56104290748692,120.06869196939398,115.64725094747547,110.45205793344113,104.61641211874358,98.25136886710628,91.45011360934305,66.01205734
260,553920.3234,5645463.345,6.550868905746602,17.677782755601157,35.015920548329525,54.001654474239054,71.93650104322131,87.52331557549333,100.28979135443284,110.2057054408625,117.45490691506447,122.31400008606477,125.08363228865547,126.05256651056091,125.48677046504561,123.62113915436504,120.66093589070802,116.7841815714938,112.14194087178171,106.86100198702884,101.04990130067293,94.80370018656477,66.30500334
261,553920.3887,5645463.245,5.688039871392781,16.595948289349472,33.8000186179507,52.809800725384896,70.89851326388938,86.71956512908156,99.75612845817287,109.94104772675203,117.43717658446192,122.50398792593694,125.44194346884758,126.54183593298329,126.07653429062023,124.27898756153704,121.35833822659684,117.4852774481607,112.82163151285765,107.49821946710138,101.63284422929821,95.32013012176375,66.42443571
262,553920.5926,5645462.932,4.5981799239333165,14.817264257197543,31.25931277332175,49.71737910812189,67.54692875083931,83.38889214890979,96.68433603588562,107.32204653147355,115.41733108971893,121.19819538556968,124.92900236740093,126.87319231874437,127.28061661799444,126.37407663634036,124.34965435476717,121.38329755553602,117.62242156540346,113.19750971007329,108.21736641376486,102.77206005580598,66.79799188
263,553920.723,5645462.73,3.2027285492483624,13.70068023671185,30.406288802855432,49.05013062509437,67.00158358751308,82.93751518098047,96.32594977313337,107.07186915009144,115.30610605960851,121.25878099796854,125.1970803469778,127.38305923967337,128.0627985571595,127.45658075283472,125.76301113436388,123.15106256044744,119.76699113952006,115.73280622186388,111.15091409189785,106.11178609588745,67.03842515
264,553920.8901,5645462.472,2.281923932986968,13.030330862666109,29.964120544084352,48.76086014063695,66.803753971018,82.79240912991128,96.2202533876739,107.02280607760615,115.33434795571563,121.39722256053389,125.47452155939443,127.83023983663534,128.70239064759684,128.31631680152347,126.86212543802579,124.50421694794579,121.3868150990329,117.63296289880796,113.34698746368424,108.61195908613477,67.34581157
265,553921.0444,5645462.232,1.568797956575151,12.322490032464977,29.32199535762036,48.23807515645872,66.44095598500932,82.6189419533998,96.25617464024396,107.26718604344404,115.78620758785712,122.04616544485549,126.30914955919592,128.83600153787032,129.87095716648906,129.6329738922136,128.31848298804633,126.09458990611284,123.10168868305453,119.4607902464395,115.27487705271251,110.63585035038743,67.6311333
266,553921.1664,5645462.042,1.129324729994581,12.072100384041503,29.412320115196454,48.738438395790084,67.34937865703658,83.88492606785636,97.7996328743954,108.99737388121623,117.61236736933441,123.87766350806055,128.067033747127,130.4508403119106,131.28302768908225,130.7924258798035,129.1817749672212,126.62322178146663,123.26298116616901,119.23096729967875,114.63341869534878,109.56385556944096,67.85692967
267,553921.3236,5645461.797,1.228743195600924,12.080956526184075,29.48315029074021,49.045166073279304,68.00107748351326,84.91791544150823,99.20078779984122,110.71786812089015,119.58131950193115,126.0225299757918,130.30620200188773,132.70723427617366,133.48444422384804,132.87370466688088,131.08434315599098,128.29903039937864,124.67361755917284,120.3326979183208,115.39068313531624,109.94795366843745,68.1480256
268,553921.46,5645461.583,1.0170208080795071,12.35060850645917,30.45735947785996,50.75771436288445,70.37651151614288,87.82702820215661,102.48918331741683,114.2294772301117,123.16979510707112,129.55253371723217,133.66262006668074,135.79252993774958,136.21557699603784,135.18433644628786,132.91751292687002,129.60291079899804,125.40365822173615,120.45864700202799,114.89123968226494,108.80453266441937,68.40179904
269,553921.5763,5645461.401,1.8014464766655824,13.780469785341673,32.70931953339511,53.75573559933882,73.9338838916795,91.72996049402319,106.53020142671626,118.22785567666553,126.97274977929914,133.0352250904788,136.73031438670506,138.3675708964705,138.2404996831425,136.6078490712394,133.7003690199252,129.71746127317834,124.83657849070688,119.20023437799118,112.9360224495191,106.15298516346135,68.61778443
270,553921.7318,5645461.157,4.165536899153661,16.551215898489605,35.94408627800764,57.317284050028015,77.62461559824332,95.355553912691,109.93091976776111,121.27731556055375,129.5853197987521,135.1480846417872,138.29992800043925,139.36463913318136,138.6518782728638,136.4290028580471,132.9358777010604,128.37351806726213,122.91526625734278,116.71294920744853,109.89175959589043,102.55804336390685,68.90712204
271,553921.8261,5645461.009,4.986864124188104,18.36440020170092,38.75894307216052,60.7759137090388,81.3282427615448,98.97516105616266,113.22888175178844,124.09489146715975,131.8214102794991,136.7498675997829,139.24506776503682,139.65575900394683,138.2955497122887,135.4464218976433,131.34691514916148,126.20607738363141,120.19811400707596,113.4703359106749,106.14918136142909,98.34307201936872,69.08261133
272,553921.9965,5645460.742,11.64640266346455,23.60728022467403,42.21919876933039,62.535173903047514,81.6321477088542,98.09935699312743,111.441219019639,121.63365459709165,128.88390405408921,133.50763733973633,135.83936895089647,136.19485201472884,134.87169862422974,132.13144615191203,128.19759317918613,123.26696759294,117.50632343693518,111.0583971205575,104.04244921930372,96.56271204924793,69.3993528
273,553922.1138,5645460.558,14.06710570007919,25.75741204398169,43.92012101258935,63.69929392115246,82.24087250976524,98.19110165584627,111.07926379263367,120.89058485802066,127.84156643632328,132.23148900382418,134.38917422576972,134.6281616324577,133.2400008383054,130.4739866450158,126.55546597543592,121.67475844067131,115.98945876392975,109.64204177997027,102.7438464659181,95.39434117156149,69.61756208
274,553922.2565,5645460.335,14.72969516970196,26.532768756189117,44.76230442400885,64.537631321897,83.01589650056653,98.86414577647304,111.62559098457996,121.30414066273222,128.12131238750382,132.38435304060798,134.4222421709635,134.55184309593614,133.06276305533189,130.2119152461636,126.21852261942442,121.27255389759117,115.53334591696537,109.14030706577697,102.20746020599874,94.83452573910172,69.88231156
275,553922.3853,5645460.136,14.39101578619139,26.4835420495616,45.03082814662667,65.0667142689768,83.7308084679022,99.69425371600877,112.51289695458141,122.20222383634814,128.9938457997339,133.20849302984138,135.19153455820225,135.27160933060128,133.73905010650256,130.84585963357512,126.8151047017505,121.83635433488594,116.07002961071268,109.65692224417504,102.71559870305443,95.34095065375307,70.11935679
276,553922.5213,5645459.926,13.5893843217991,25.917047728381927,44.81200755142824,65.21747550813221,84.22353582929294,100.48143724733134,113.54321647104615,123.42597132215366,130.3750111698693,134.71478824991092,136.7954171332623,136.9401305750067,135.45467176155802,132.5937602235003,128.58765849251284,123.62451217408692,117.86989825127748,111.46396702332677,104.51840209273625,97.13777441272617,70.36954872
277,553922.6739,5645459.694,12.70897541008527,25.19127730517032,44.409416389215714,65.21774415882093,84.63817242061826,101.28372032643371,114.68989862586251,124.87105443760501,132.07034051806528,136.6201622220349,138.87116195565838,139.15565799730098,137.77673470358852,134.99828589571473,131.05046378358486,126.12942456694735,120.40186658245652,114.00857056366738,107.06889017965734,99.68116108917808,70.64723696
