,x,y,EC_0.60,EC_1.00,EC_end
14791,107774.635,183275.636,71.4637336105152,85.10307132035165,96.19509387533428
14792,107774.519,183275.823,71.17965562954744,84.94164928751569,96.14851336188727
14793,107774.347,183276.097,69.87159009569989,85.07199544676324,97.58783085619832
14794,107774.211,183276.314,68.926478447542,84.56692413439738,97.53785179067033
14795,107774.058,183276.559,67.09403934886119,84.29165919164127,98.68509979327953
14796,107773.896,183276.82,64.92730267218317,83.42595498401384,99.12125997647543
14797,107773.724,183277.096,62.67713773648593,82.04915566644164,98.61139902129102
14798,107773.538,183277.396,61.40485023503015,80.7973894803204,97.44421990282753
14799,107773.392,183277.631,60.87754190489207,79.77564824968302,95.99023323460375
14800,107773.142,183278.034,60.24530064475126,77.83614398697081,92.80710882115105
